wt (oz),1,2,3,4,5,6,7,8,9
1,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13,4.13
2,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13,4.13
3,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13,4.13
4,3.59,3.64,3.66,3.75,3.81,3.9,3.97,4.13,4.13
5,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44,4.44
6,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44,4.44
7,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44,4.44
8,3.99,4.06,4.09,4.15,4.2,4.24,4.31,4.44,4.44
9,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33,5.33
10,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33,5.33
11,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33,5.33
12,4.62,4.69,4.74,4.81,4.88,5.04,5.17,5.33,5.33
13,5.85,5.93,6,6.07,6.22,6.44,6.6,6.78,6.78
14,5.85,5.93,6,6.07,6.22,6.44,6.6,6.78,6.78
15,5.85,5.93,6,6.07,6.22,6.44,6.6,6.78,6.78
15.99,5.85,5.93,6,6.07,6.22,6.44,6.6,6.78,6.78