wt (lbs),1,2,3,4,5,6,7,8,9
1,7.64,7.78,8.01,8.24,8.47,8.96,9.43,10.07,18.03
2,8.23,8.31,8.45,8.74,9.39,11.29,11.97,13.17,27.59
3,8.42,8.58,8.86,9.25,10.23,13.74,15.48,18.45,37.43
4,8.55,8.76,9.16,9.83,12.01,16.01,18.57,21.6,45.07
5,8.74,8.95,9.3,10.27,13.42,17.54,21.43,24.97,52.45
6,8.91,9.13,9.73,10.78,14.35,19.09,24.49,28.53,60.1
7,9.16,9.39,10.36,11.41,15.34,20.62,26.57,31.01,67.49
8,9.68,9.92,10.97,12.11,16.39,22.18,28.64,33.5,75.76
9,10.26,10.51,11.64,12.89,17.49,23.72,30.72,35.97,84.25
10,10.82,11.09,12.31,13.65,18.57,25.26,32.8,38.24,91.62
11,11.49,11.78,12.96,14.41,19.65,26.8,34.81,40.49,100.1
12,11.99,12.29,13.61,15.16,20.8,28.34,36.7,42.74,107.31
13,12.53,12.84,14.26,15.9,21.93,29.86,38.58,45,111.14
14,13.11,13.44,14.9,16.64,23.05,31.27,40.47,47.26,116.64
15,13.53,13.87,15.54,17.37,24.17,32.66,42.36,49.52,119.74
16,14.22,14.57,16.18,18.1,25.29,34.07,44.25,51.77,126.31
17,14.72,15.09,16.81,18.83,26.39,35.46,46.14,54.03,132.97
18,15.31,15.69,17.44,19.55,27.5,36.86,48.02,56.28,139.67
19,15.82,16.22,18.07,20.28,28.62,38.27,49.91,58.53,146.3
20,16.27,16.68,18.7,21,29.72,39.67,51.8,60.8,153.04